"sites","bb_IDM","bb_SPE","bb_GRO","hv_IDM","hv_SPE","hv_GRO","sb_IDM","sb_SPE","sb_GRO","region"
"SU1466",1.79038673114398,1.71522509950714,2.28342121220609,3.32073434417756,3.34999428613355,4.2575092737089,3.3375914926866,3.28700032012464,4.14227018931307,"ENG"
"SU3986",1.81914916077643,1.71255185084796,2.35877882307835,3.3239410420586,3.25538902445039,4.2620806515333,3.25005180084179,3.21229566307285,4.14548706902245,"ENG"
"SU6679",1.77121270873722,1.6207971938511,2.41423073336937,3.19821308975777,3.26394412149411,4.25559637500621,3.07142405187721,2.99463137501846,4.14209095995538,"ENG"
"SU7800",1.78081200552454,1.67652952204654,2.39800811801333,3.12166622721828,3.29311298187591,4.24757435618258,3.42776596223357,3.40298933042898,4.13998610768536,"ENG"
"SX7048",1.92667601550757,1.8233860053191,2.42064976372571,3.32672534083871,3.3524643564864,4.27024779076399,3.04681548156856,3.12626835460293,4.14467273127654,"ENG"
"SX8144",1.78571968035296,1.67183062432391,2.32348995147611,3.4503448354672,3.43036294200228,4.26444381881265,2.99663528384879,2.98160551203774,4.14321724391776,"ENG"
"SY8586",2.00261732145312,1.83739585499973,2.36482119531762,3.25949515400856,3.35442417110646,4.25940989332866,3.32661174370669,3.2166472297409,4.14419980097297,"ENG"
"TG4403",1.88297891570709,1.7636223419515,2.40074502845799,3.22325046571701,3.3261299716436,4.26389547176226,3.29266902377958,3.22354512383293,4.13934239014325,"ENG"
"TL3266",1.8501719800702,1.68614901749626,2.42616913729643,3.25426815081368,3.28053068522831,4.25955418027236,3.15433950380867,3.14222636758711,4.14642486125215,"ENG"
"TM3949",1.78322710819139,1.82292421831662,2.46452485598484,2.55731283994327,3.31824045492512,4.26185671454058,3.21796979431126,3.20543333045943,4.14386932658501,"ENG"
"TQ1827",1.66821135323251,1.66679721485517,2.47508270223406,3.51145428193055,3.34462116358594,4.25993183988406,3.37460879944895,3.30548476459024,4.14346755111007,"ENG"
"TQ3110",1.81934449625747,1.80552427087528,2.49692344842609,3.02806579006648,3.23078275977147,4.26599677265547,3.26932904987926,3.29608620677795,4.13672843190378,"ENG"
"TQ4450",1.89567940079538,1.85352671069628,2.44215250021556,3.28948755393208,3.37559279301592,4.26917662873587,3.20301448262391,3.07240579768186,4.13791677234128,"ENG"
"TQ8038",1.94010738477422,1.79385443489831,2.40877060709906,3.16194540527276,3.34907850972756,4.24925711393472,3.3279494246845,3.24437019335056,4.13246400930099,"ENG"
"TR0534",1.83691062521493,1.82651252223392,2.46190966912028,3.13582788185902,3.33102937787837,4.27012822915152,3.01541600021055,3.02718740569456,4.1349677903375,"ENG"
"TR3149",1.96313563197823,1.78514075765619,2.28557067667087,3.25764887663157,3.35864161896682,4.26589214099435,3.04847237586512,3.02971663667619,4.13599273354392,"ENG"
