"Parameter","Rhat","nRows"
"shan[50]",1.00846279834949,372
"shan[51]",1.02073501385986,372
"shan[52]",1.04175888691713,372
"shan[53]",1.00649335921268,372
"shan[54]",1.00768920577064,372
"shan[55]",1.0105006454288,372
"shan[56]",1.02162940808116,372
"shan[57]",1.01742167982196,372
"shan[58]",1.00502181873429,372
"shan[59]",1.03188597973311,372
"shan[60]",1.01610471549933,372
"shan[61]",1.0117027862978,372
"shan[62]",1.00472836750113,372
"shan[63]",1.00219806852181,372
"shan[64]",1.01821747240931,372
"shan[65]",1.01091316326962,372
"shan[66]",1.00795059970619,372
"shan[67]",1.00826620990631,372
"shan[68]",1.00485865330367,372
"shan[69]",1.0081798828247,372
"shan[70]",1.00593082911076,372
"shan[71]",1.00778436990117,372
"shan[72]",1.01362873460835,372
"shan[73]",1.00386243219581,372
"shan[74]",1.01200112587932,372
"sigmaAlphaSites",1.00928889374348,372
"sigmaAlphaSpecies",0.999968510117092,372
"sigmaLatitude",1.00347060333482,372
"sigmaSpecies",1.00312270296922,372
"Cov[1, 1]",1.06796489854155,372
"Cov[1, 2]",1.03284713024972,372
"Cov[1, 3]",1.0001545493611,372
"Cov[1, 4]",1.00985925686173,372
"Cov[1, 5]",1.01928440586587,372
"Cov[1, 6]",1.04997484626386,372
"Cov[1, 7]",1.02488906055758,372
"Cov[1, 8]",1.0067872832289,372
"Cov[1, 9]",1.04136820864468,372
"Cov[1, 10]",1.01925230265988,372
"Cov[1, 11]",1.0172227042188,372
"Cov[1, 12]",1.01501229250828,372
"Cov[1, 13]",1.07014676278736,372
"Cov[1, 14]",1.0291758702475,372
"Cov[1, 15]",1.00455962821931,372
"Cov[1, 16]",1.02657465788832,372
"Cov[1, 17]",1.03691314081841,372
"Cov[2, 1]",1.03284713024972,372
"Cov[2, 2]",1.00232966126632,372
"Cov[2, 3]",1.02979355296423,372
"Cov[2, 4]",1.05628637043971,372
"Cov[2, 5]",1.00004000868399,372
"Cov[2, 6]",1.05170994038826,372
"Cov[2, 7]",1.02247996192553,372
"Cov[2, 8]",1.02252989763084,372
"Cov[2, 9]",1.01650382993171,372
"Cov[2, 10]",1.01351563044034,372
"Cov[2, 11]",1.05370943784462,372
"Cov[2, 12]",1.00887676660598,372
"Cov[2, 13]",1.01163804077984,372
"Cov[2, 14]",1.00223899470154,372
"Cov[2, 15]",1.03276718308676,372
"Cov[2, 16]",1.06800116626479,372
"Cov[2, 17]",1.04017432718569,372
"Cov[3, 1]",1.0001545493611,372
"Cov[3, 2]",1.02979355296423,372
"Cov[3, 3]",1.03159676706918,372
"Cov[3, 4]",1.06712623430817,372
"Cov[3, 5]",1.08605143672312,372
"Cov[3, 6]",1.02948003507856,372
"Cov[3, 7]",1.04221522345656,372
"Cov[3, 8]",1.00338087626921,372
"Cov[3, 9]",1.02944141227049,372
"Cov[3, 10]",1.0146123162315,372
"Cov[3, 11]",1.02820742147085,372
"Cov[3, 12]",1.02899716731021,372
"Cov[3, 13]",1.03971432950015,372
"Cov[3, 14]",1.0349480286242,372
"Cov[3, 15]",1.07075076811397,372
"Cov[3, 16]",1.00024093870447,372
"Cov[3, 17]",1.02672610805804,372
"Cov[4, 1]",1.00985925686173,372
"Cov[4, 2]",1.05628637043971,372
"Cov[4, 3]",1.06712623430817,372
"Cov[4, 4]",1.09771122482428,372
"Cov[4, 5]",1.03090264067795,372
"Cov[4, 6]",1.05414419073427,372
"Cov[4, 7]",1.09793554746297,372
"Cov[4, 8]",1.04439805842842,372
"Cov[4, 9]",1.03265517898072,372
"Cov[4, 10]",1.00199556722811,372
"Cov[4, 11]",1.02053957320382,372
"Cov[4, 12]",1.01319176297363,372
"Cov[4, 13]",1.1994907876243,372
"Cov[4, 14]",1.00047462925984,372
"Cov[4, 15]",1.15005724084203,372
"Cov[4, 16]",1.13981312387858,372
"Cov[4, 17]",1.09860328629839,372
"Cov[5, 1]",1.01928440586587,372
"Cov[5, 2]",1.00004000868399,372
"Cov[5, 3]",1.08605143672312,372
"Cov[5, 4]",1.03090264067795,372
"Cov[5, 5]",1.00263550490666,372
"Cov[5, 6]",1.0293654237265,372
"Cov[5, 7]",1.019087733931,372
"Cov[5, 8]",1.00839509620747,372
"Cov[5, 9]",1.04732291635647,372
"Cov[5, 10]",1.00366873188831,372
"Cov[5, 11]",1.0032537375377,372
"Cov[5, 12]",1.01862315965588,372
"Cov[5, 13]",1.01516576962709,372
"Cov[5, 14]",1.01486917064622,372
"Cov[5, 15]",1.0060281910019,372
"Cov[5, 16]",1.0468567260973,372
"Cov[5, 17]",1.06760781409665,372
"Cov[6, 1]",1.04997484626386,372
